Method,Accuracy
DNGR,0.5820000171661377
DeepWalk,0.5640000104904175
GNN,0.8550000190734863
GraRep,0.6000000238418579
GraphFactorization,0.6000000238418579
GraphWave,0.6000000238418579
HARP_Deepwalk,0.5820000171661377
HARP_Node2Vec,0.5820000171661377
HOPE,0.6179999709129333
LINE,0.5640000104904175
LaplacianEigenmaps,0.6000000238418579
Node2Vec,0.5820000171661377
SDNE,0.6000000238418579
Struc2Vec,0.5450000166893005
