Method,Accuracy
DNGR,0.9470000267028809
DeepWalk,0.9330000281333923
GNN,0.9470000267028809
GraRep,0.9470000267028809
GraphFactorization,0.5870000123977661
GraphWave,0.3869999945163727
HARP_Deepwalk,0.9330000281333923
HARP_Node2Vec,0.9470000267028809
HOPE,0.34700000286102295
LINE,0.49300000071525574
LaplacianEigenmaps,0.37299999594688416
Node2Vec,0.9330000281333923
SDNE,0.3869999945163727
Struc2Vec,1.0
