Method,Accuracy
DNGR,1.0
DeepWalk,1.0
GraRep,1.0
GraphFactorization,0.8889999985694885
GraphWave,0.4440000057220459
HARP_Deepwalk,1.0
HARP_Node2Vec,1.0
HOPE,1.0
LINE,0.4440000057220459
LaplacianEigenmaps,0.4440000057220459
Node2Vec,1.0
SDNE,0.8889999985694885
Struc2Vec,0.777999997138977
