Method,Accuracy
DNGR,0.9470000267028809
DeepWalk,0.9470000267028809
GraRep,0.9470000267028809
GraphFactorization,0.7200000286102295
GraphWave,0.37299999594688416
HARP_Deepwalk,0.9470000267028809
HARP_Node2Vec,0.9470000267028809
HOPE,0.2930000126361847
LINE,0.3869999945163727
LaplacianEigenmaps,0.37299999594688416
Node2Vec,0.9470000267028809
SDNE,0.37299999594688416
Struc2Vec,0.9869999885559082
