Method,Accuracy
DNGR,0.6000000238418579
DeepWalk,0.6000000238418579
GraRep,0.6000000238418579
GraphFactorization,0.6000000238418579
GraphWave,0.6000000238418579
HARP_Deepwalk,0.6000000238418579
HARP_Node2Vec,0.6000000238418579
HOPE,0.6000000238418579
LINE,0.6000000238418579
LaplacianEigenmaps,0.6000000238418579
Node2Vec,0.6179999709129333
SDNE,0.6000000238418579
Struc2Vec,0.6000000238418579
