Method,Accuracy
DNGR,1.0
DeepWalk,1.0
GraRep,1.0
GraphFactorization,0.4440000057220459
GraphWave,0.4440000057220459
HARP_Deepwalk,0.8889999985694885
HARP_Node2Vec,1.0
HOPE,0.5559999942779541
LINE,0.4440000057220459
LaplacianEigenmaps,0.4440000057220459
Node2Vec,1.0
SDNE,0.4440000057220459
Struc2Vec,0.8889999985694885
